"Id_settings","PIN","Settings","Value","Fecha"
"1","2yudm","OcultarDepartamentos","1","2020-01-09 16:28:22"
"2","5qz8t","OcultarDepartamentos","1","2020-01-09 16:28:22"
"3","5qz8t","OcultarPuestos","1","2020-01-09 16:28:22"
"4","xczd7Q","NOHeredarDepartamento","1","2020-01-17 18:54:02"
"5","sppp0XX","OcultarDepartamentos","1","2020-01-09 16:28:22"
"6","543lf","OcultarDepartamentos","1","2020-01-24 16:28:22"
"7","543lf","OcultarPuestos","1","2020-01-24 16:28:22"
"8","g547y","OcultarDepartamentos","1","2020-01-24 16:28:22"
"9","mjn8n","OcultarDepartamentos","1","2020-01-24 16:28:22"
"10","mjn8n","OcultarPuestos","1","2020-01-24 16:28:22"
"11","54yep","OcultarPuestos","1","2020-03-03 16:28:22"
"12","g547y","OcultarDepartamentos","1","2020-03-20 16:28:22"
"13","ig64q","OcultarPuestos","1","2020-06-29 16:28:22"
"14","ig64q","OcultarDepartamentos","1","2020-06-29 16:28:22"
"15","jhg9a","OcultarPuestos","1","2020-07-10 16:28:22"
"16","jhg9a","OcultarDepartamentos","1","2020-07-10 16:28:22"
"17","nh61z","OcultarDepartamentos","1","2020-09-24 16:28:22"
"18","nh61z","OcultarPuestos","1","2020-09-24 16:28:22"
"19","fniau","OcultarDepartamentos","1","2020-09-24 16:28:22"
"20","fniau","OcultarPuestos","1","2020-09-24 16:28:22"
"21","b3g4l","OcultarDepartamentos","1","2021-01-01 16:28:22"
"22","b3g4l","OcultarPuestos","1","2021-01-01 16:28:22"
